title,description,recipeLink,keywords,ratingCount,ratingValue,recipeCategory,recipeCuisine,keywords_merged,recipeCategory_merged,recipeCuisine_merged,soup,imageLink
Jollof rice with chicken ,"This version of jollof rice adds chicken for a filling dinner that cooks all in one pan. Perfect for the family.

Each serving provides 549 kcal, 44g protein, 74.5g carbohydrates (of which 14g sugars), 7.5g fat (of which 1.5g saturates), 4g fibre and 1.2g salt.",https://www.bbc.co.uk/food/recipes/jollof_rice_with_chicken_74636,"quick, african inspired food, perfectly portioned dinners, cheap rice, easy rice, spring chicken recipes , surprisingly cheap dishes, winter packed lunch ideas, easy family dinners, basmati rice, chicken thigh, dairy free, egg free, nut free, pregnancy friendly, Eat Well for Less?",15.0,3.4,Main course,African,quick africaninspiredfood perfectlyportioneddinners cheaprice easyrice springchickenrecipes surprisinglycheapdishes winterpackedlunchideas easyfamilydinners basmatirice chickenthigh dairyfree eggfree nutfree pregnancyfriendly eatwellforless?,maincourse,african,maincourse african quick africaninspiredfood perfectlyportioneddinners cheaprice easyrice springchickenrecipes surprisinglycheapdishes winterpackedlunchideas easyfamilydinners basmatirice chickenthigh dairyfree eggfree nutfree pregnancyfriendly eatwellforless?,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/jollof_rice_with_chicken_74636_16x9.jpg
Salmon traybake,"A simple salmon traybake that's really easy to throw together, using soy sauce, chilli and lime. Feel free to change up the vegetables.

Each serving provides 553kcal, 45g protein, 11.5g carbohydrates (of which 10g sugars), 35g fat (of which 6g saturates), 6g fibre and 2.3g salt.",https://www.bbc.co.uk/food/recipes/salmon_traybake_53794,"quick, all-in-one traybake dinners, simple salmon suppers, affordable 30-minute meals for four, gluten-free meals, good mood food, healthy fish, healthy recipes for two, low-carb meals, make it easy, power up on protein, quick and easy oily fish, recipes for iftar, veg-packed comfort food, summery traybakes, using fridge vegetables, your favourite dinner in a traybake, easy family dinners, healthy diet plans, healthy summer, student food, summer dinner, valentine's day, salmon, dairy free, egg free, gluten free, healthy, pregnancy friendly",32.0,4.3,Main course,Thai and South-East Asian,quick all-in-onetraybakedinners simplesalmonsuppers affordable30-minutemealsforfour gluten-freemeals goodmoodfood healthyfish healthyrecipesfortwo low-carbmeals makeiteasy poweruponprotein quickandeasyoilyfish recipesforiftar veg-packedcomfortfood summerytraybakes usingfridgevegetables yourfavouritedinnerinatraybake easyfamilydinners healthydietplans healthysummer studentfood summerdinner valentine'sday salmon dairyfree eggfree glutenfree healthy pregnancyfriendly,maincourse,thaiandsouth-eastasian,maincourse thaiandsouth-eastasian quick all-in-onetraybakedinners simplesalmonsuppers affordable30-minutemealsforfour gluten-freemeals goodmoodfood healthyfish healthyrecipesfortwo low-carbmeals makeiteasy poweruponprotein quickandeasyoilyfish recipesforiftar veg-packedcomfortfood summerytraybakes usingfridgevegetables yourfavouritedinnerinatraybake easyfamilydinners healthydietplans healthysummer studentfood summerdinner valentine'sday salmon dairyfree eggfree glutenfree healthy pregnancyfriendly,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/salmon_traybake_53794_16x9.jpg
Cinnamon buns,"The Swedes know how to live � their cinnamon buns are a prime example. This easy cinnamon bun recipe puts a lot of the cinnamon sugar on the top, rather than hidden away inside. Don�t be shy, really go for it.",https://www.bbc.co.uk/food/recipes/cinnamon_buns_10634,"christmas breakfasts, autumnal baking, baking with spice, christmas bread, hygge food, mother's day gifts, snow day, the hygge way, valentine's day gifts, boxing day, christmas, buns, cinnamon, nut free, pregnancy friendly, vegetarian",80.0,4.5,Cakes and baking,Nordic,christmasbreakfasts autumnalbaking bakingwithspice christmasbread hyggefood mother'sdaygifts snowday thehyggeway valentine'sdaygifts boxingday christmas buns cinnamon nutfree pregnancyfriendly vegetarian,cakesandbaking,nordic,cakesandbaking nordic christmasbreakfasts autumnalbaking bakingwithspice christmasbread hyggefood mother'sdaygifts snowday thehyggeway valentine'sdaygifts boxingday christmas buns cinnamon nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/cinnamon_buns_10634_16x9.jpg
Blackberry cheesecake,Swirl luscious blackberry sauce through this rich baked cheesecake and add crunch with a scattering of honeycomb. Or simply serve with fresh blackberries and clotted cream.,https://www.bbc.co.uk/food/recipes/vanilla_baked_cheesecake_59336,"baked cheesecakes, christmas desserts, christmas, dinner party, new year and hogmanay, cheesecake, blackberry, cream cheese, nut free, vegetarian, summer, autumn, Saturday Kitchen",14.0,4.2,Cakes and baking,American,bakedcheesecakes christmasdesserts christmas dinnerparty newyearandhogmanay cheesecake blackberry creamcheese nutfree vegetarian summer autumn saturdaykitchen,cakesandbaking,american,cakesandbaking american bakedcheesecakes christmasdesserts christmas dinnerparty newyearandhogmanay cheesecake blackberry creamcheese nutfree vegetarian summer autumn saturdaykitchen,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/vanilla_baked_cheesecake_59336_16x9.jpg
Quick chicken biryani,"A family favourite, this easy chicken biryani is not too spicy and easy to make for a comforting weeknight supper.",https://www.bbc.co.uk/food/recipes/chickenbiriyani_89035,"easy rice, recipes for iftar, baisakhi, diwali, easy family dinners, eid al-fitr, biryani, basmati rice, chicken breast, egg free, gluten free, nut free, pregnancy friendly, A Taste of My Life",19.0,3.5,Main course,Indian,easyrice recipesforiftar baisakhi diwali easyfamilydinners eidal-fitr biryani basmatirice chickenbreast eggfree glutenfree nutfree pregnancyfriendly atasteofmylife,maincourse,indian,maincourse indian easyrice recipesforiftar baisakhi diwali easyfamilydinners eidal-fitr biryani basmatirice chickenbreast eggfree glutenfree nutfree pregnancyfriendly atasteofmylife,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chickenbiriyani_89035_16x9.jpg
The Hairy Bikers' moussaka,"This moussaka provides a wonderful meal for a family occasion and is made with the traditional lamb mince. 

Each serving provides 678 kcal, 34g protein, 34g carbohydrates (of which 10g sugars), 41g fat (of which 16.5g saturates), 6g fibre and 1.2g salt.",https://www.bbc.co.uk/food/recipes/moussaka_01004,"more ways with mince, winter packed lunch ideas, dinner party, easter, mother's day, winter, moussaka, lamb mince, nut free, Hairy Bikers' Best of British",117.0,4.4,Main course,Greek,morewayswithmince winterpackedlunchideas dinnerparty easter mother'sday winter moussaka lambmince nutfree hairybikers'bestofbritish,maincourse,greek,maincourse greek morewayswithmince winterpackedlunchideas dinnerparty easter mother'sday winter moussaka lambmince nutfree hairybikers'bestofbritish,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/moussaka_01004_16x9.jpg
Vegetable Thai curry,"Packed with vegetables, Mary Berry's Thai curry uses ready-made paste for ease and speed. Serve with rice.",https://www.bbc.co.uk/food/recipes/vegetable_thai_curry_91251,"quick, mary berry's christmas, leftovers, Thai curry, coconut milk, dairy free, egg free, pregnancy friendly, vegetarian, A Berry Royal Christmas",12.0,4.2,Main course,Thai and South-East Asian,quick maryberry'schristmas leftovers thaicurry coconutmilk dairyfree eggfree pregnancyfriendly vegetarian aberryroyalchristmas,maincourse,thaiandsouth-eastasian,maincourse thaiandsouth-eastasian quick maryberry'schristmas leftovers thaicurry coconutmilk dairyfree eggfree pregnancyfriendly vegetarian aberryroyalchristmas,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/vegetable_thai_curry_91251_16x9.jpg
Shakshuka traybake,"Perfect for a lazy weekend, this shakshuka traybake recipe allows you to slowly roast vegetables in the oven while you have a snooze. 

Each serving provides 237 kcal, 11g protein, 16.5g carbohydrates (of which 16g sugars), 12g fat (of which 2.5g saturates), 8.5g fibre and 0.3g salt. ",https://www.bbc.co.uk/food/recipes/red_pepper_and_aubergine_84745,"300-calorie breakfasts, 300-calorie dinners, all-in-one traybake dinners, affordable 30-minute meals for four, a very veggie easter, perfectly portioned dinners, perfectly portioned dinners, brunch club , easter brunch, easy and cheap one pots, easy egg suppers, eat the rainbow, food to eat after exercise, healthy family meals, healthy vegetarian, low-calorie, new ways to 5-a-day, one dish dinners, veg-packed comfort food, shortcut dinners, spice up humble ingredients, summery traybakes, vegetarian mothering sunday mains, veggie traybakes, your favourite dinner in a traybake, dinner party, easy family dinners, summer dinner, Shakshuka, pepper, aubergine, cumin, egg, dairy free, healthy, nut free, pregnancy friendly, vegetarian",29.0,4.5,Brunch,North African,300-caloriebreakfasts 300-caloriedinners all-in-onetraybakedinners affordable30-minutemealsforfour averyveggieeaster perfectlyportioneddinners perfectlyportioneddinners brunchclub easterbrunch easyandcheaponepots easyeggsuppers eattherainbow foodtoeatafterexercise healthyfamilymeals healthyvegetarian low-calorie newwaysto5-a-day onedishdinners veg-packedcomfortfood shortcutdinners spiceuphumbleingredients summerytraybakes vegetarianmotheringsundaymains veggietraybakes yourfavouritedinnerinatraybake dinnerparty easyfamilydinners summerdinner shakshuka pepper aubergine cumin egg dairyfree healthy nutfree pregnancyfriendly vegetarian,brunch,northafrican,brunch northafrican 300-caloriebreakfasts 300-caloriedinners all-in-onetraybakedinners affordable30-minutemealsforfour averyveggieeaster perfectlyportioneddinners perfectlyportioneddinners brunchclub easterbrunch easyandcheaponepots easyeggsuppers eattherainbow foodtoeatafterexercise healthyfamilymeals healthyvegetarian low-calorie newwaysto5-a-day onedishdinners veg-packedcomfortfood shortcutdinners spiceuphumbleingredients summerytraybakes vegetarianmotheringsundaymains veggietraybakes yourfavouritedinnerinatraybake dinnerparty easyfamilydinners summerdinner shakshuka pepper aubergine cumin egg dairyfree healthy nutfree pregnancyfriendly vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/red_pepper_and_aubergine_84745_16x9.jpg
Vegan lasagne ,"A vegetable-packed vegan lasagne made with dairy-free white sauce. It freezes brilliantly and makes the perfect vegan comfort food.

Each serving provides 470 kcal, 16g protein, 61g carbohydrate (of which 15g sugars), 16g fat (of which 2g saturates), 8g fibre and 0.4g salt.",https://www.bbc.co.uk/food/recipes/vegan_lasagne_89049,"vegan carbohydrates, full of beans , healthy recipes to make and freeze, high-fibre meals, low salt pasta, make-ahead dinners, perfect pulses, vegan comfort food, vegan food for winter, vegan pasta, vegan protein, vibrant vegan dishes, veganuary, Vegetable lasagne, chestnut mushrooms, lentils, lasagne sheets, dairy free, egg free, pregnancy friendly, vegan, vegetarian",25.0,4.2,Main course,Italian,vegancarbohydrates fullofbeans healthyrecipestomakeandfreeze high-fibremeals lowsaltpasta make-aheaddinners perfectpulses vegancomfortfood veganfoodforwinter veganpasta veganprotein vibrantvegandishes veganuary vegetablelasagne chestnutmushrooms lentils lasagnesheets dairyfree eggfree pregnancyfriendly vegan vegetarian,maincourse,italian,maincourse italian vegancarbohydrates fullofbeans healthyrecipestomakeandfreeze high-fibremeals lowsaltpasta make-aheaddinners perfectpulses vegancomfortfood veganfoodforwinter veganpasta veganprotein vibrantvegandishes veganuary vegetablelasagne chestnutmushrooms lentils lasagnesheets dairyfree eggfree pregnancyfriendly vegan vegetarian,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/vegan_lasagne_89049_16x9.jpg
Spanish tortilla ,"So versatile, Mary Berry's easy Spanish omelette makes a delicious brunch, lunch, picnic or light supper.
",https://www.bbc.co.uk/food/recipes/spanish_tortilla_78863,"quick, al fresco easter, dairy-free kids party, veggie family favourites, ways to use up potatoes, barbecue, healthy summer, lunch, picnic, spring recipes , summer dinner, omelette, egg, dairy free, gluten free, nut free, pregnancy friendly, vegetarian, Classic Mary Berry",16.0,4.5,Light meals & snacks,Spanish,quick alfrescoeaster dairy-freekidsparty veggiefamilyfavourites waystouseuppotatoes barbecue healthysummer lunch picnic springrecipes summerdinner omelette egg dairyfree glutenfree nutfree pregnancyfriendly vegetarian classicmaryberry,lightmeals&snacks,spanish,lightmeals&snacks spanish quick alfrescoeaster dairy-freekidsparty veggiefamilyfavourites waystouseuppotatoes barbecue healthysummer lunch picnic springrecipes summerdinner omelette egg dairyfree glutenfree nutfree pregnancyfriendly vegetarian classicmaryberry,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/spanish_tortilla_78863_16x9.jpg
