id,recipe_id,ingredient_name,Quantity,Comment,Wrong_Name,Column1,_1,_2,_3,_4,_5
0,0,olive oil,2 tbsp,,FALSO,,,,,,
1,0,red onion,�,thinly sliced,FALSO,,,,,,
2,0,courgette,1,halved lengthways and sliced,FALSO,,,,,,
3,0,chickpeas,400g tin,drained and rinsed,FALSO,,,,,,
4,0,harissa,2 tbsp, paste,FALSO,,,,,,
5,0,cherry tomatoes,8�10,halved,FALSO,,,,,,
6,0,lemon,�,juice only,FALSO,,,,,,
7,0,yoghurt,6 tbsp plain,,FALSO,,,,,,
8,0,coriander,finely chopped flatleaf parsley or,,FALSO,,,,,,
9,0,salt,,,VERDADEIRO,,,,,,
10,1,eggs,2 large free-range,,FALSO,,,,,,
11,1,olive oil,1 tbsp light,,FALSO,,,,,,
12,1,cumin,2 tsp, seeds,FALSO,,,,,,
13,1,mustard seeds,1 tsp black,,FALSO,,,,,,
14,1,curry powder,2 tbsp medium,plus extra for sprinkling,FALSO,,,,,,
15,1,garlic,1 tsp, granules,FALSO,,,,,,
16,1,ground ginger,1 tsp,,FALSO,,,,,,
17,1,chopped tomatoes,400g tin,,FALSO,,,,,,
18,1,chickpeas,400g tin,drained and rinsed,FALSO,,,,,,
19,1,lemon juice,1 tbsp,,FALSO,,,,,,
20,1,water,100ml/3�fl oz,boiling,FALSO,,,,,,
21,1,spinach,180g/6oz baby leaf,,FALSO,,,,,,
22,1,salt,,,VERDADEIRO,,,,,,
23,1,coriander,2 tbsp chopped fresh,to garnish,FALSO,,,,,,
24,2,olive oil,1 tbsp extra virgin,plus extra for drizzling,FALSO,,,,,,
25,2,garlic,2 large," cloves, thinly sliced",FALSO,,,,,,
26,2,chickpeas,400g tin,,FALSO,,,,,,
27,2,chopped tomatoes,400g tin,,FALSO,,,,,,
28,2,vegetable stock,400ml/14fl oz,,FALSO,,,,,,
29,2,pasta,50g/1�oz small, shapes,FALSO,,,,,,
30,2,black pepper,freshly ground sea salt and,,FALSO,,,,,,
31,3,olive oil,� tbsp light,,FALSO,,,,,,
32,3,onion,1 large,finely sliced,FALSO,,,,,,
33,3,garlic,3," cloves, finely chopped",FALSO,,,,,,
34,3,beef stock,1, cube,FALSO,,,,,,
35,3,smoked paprika,2 tsp sweet,,FALSO,,,,,,
36,3,tomato pur�e,1 tbsp,,FALSO,,,,,,
37,3,beef consomm�,400g tin,,FALSO,,,,,,
38,3,chestnut mushrooms,150g/5�oz,thinly sliced,FALSO,,,,,,
39,3,Dijon mustard,1 tbsp,,FALSO,,,,,,
40,3,rump,2," steaks (175g/6oz each), visible fat trimmed",FALSO,,,,,,
41,3,olive oil,, spray,FALSO,,,,,,
42,3,gherkins,60g/2�oz cornichons or small,sliced,FALSO,,,,,,
43,3,cr�me fra�che,75ml/2�fl oz half-fat,,FALSO,,,,,,
44,3,parsley,2 tbsp finely chopped flatleaf,,FALSO,,,,,,
45,3,chervil,2 tbsp roughly chopped, or parsley,FALSO,,,,,,
46,3,dried onion flakes,2 tbsp,,FALSO,,,,,,
47,3,salt,,,VERDADEIRO,,,,,,
48,3,basmati rice,160g/5�oz,freshly cooked,FALSO,,,,,,
49,4,vegetable oil,1 tbsp,,FALSO,,,,,,
50,4,onion,1 small,finely chopped,FALSO,,,,,,
51,4,laksa paste,3 tbsp,,VERDADEIRO,,,,,,
52,4,garlic,3," cloves, crushed",FALSO,,,,,,
53,4,sugar,1 tbsp light brown soft,,FALSO,,,,,,
54,4,fish sauce,1 tbsp,,FALSO,,,,,,
55,4,tamarind,� tbsp, paste,FALSO,,,,,,
56,4,lime,1,finely grated zest and juice,FALSO,,,,,,
57,4,coconut milk,400ml tin,,FALSO,,,,,,
58,4,chicken stock,100ml/3�fl oz fresh,gluten-free if required,FALSO,,,,,,
59,4,spinach,85g/3oz  baby, leaves,FALSO,,,,,,
60,4,prawns,200g/7oz raw king,shelled with the tails on (if desired),FALSO,,,,,,
61,4,rice noodles,100g/3�oz wide flat, or rice vermicelli,FALSO,,,,,,
62,4,salt,,,VERDADEIRO,,,,,,
63,4,red onion,�,thinly sliced,FALSO,,,,,,
64,4,fresh coriander,2 tbsp chopped, leaves,FALSO,,,,,,
65,4,chilli,1 red,deseeded and thinly sliced,FALSO,,,,,,
66,4,lime,1,sliced into wedges,FALSO,,,,,,
67,5,red onion,1 large,chopped into bite-sized pieces,FALSO,,,,,,
68,5,peppers,3 mixed,chopped into bite-sized pieces,FALSO,,,,,,
69,5,aubergine,1 large,chopped into bite-sized pieces,FALSO,,,,,,
70,5,olive oil,1 tbsp extra virgin,plus extra for drizzling,FALSO,,,,,,
71,5,halloumi,250g/9oz," cheese, sliced",FALSO,,,,,,
72,5,basil,small handful fresh,,FALSO,,,,,,
73,5,black pepper,freshly ground sea salt and,,FALSO,,,,,,
74,6,red onion,1,cut into 8 wedges,FALSO,,,,,,
75,6,peppers,2 large,"red and yellow, seeds removed, cut into 4cm/1�in chunks",FALSO,,,,,,
76,6,courgettes,2 medium,"trimmed, halved lengthways and thickly sliced",FALSO,,,,,,
77,6,olive oil,1 tbsp,,FALSO,,,,,,
78,6,sausages,6," (around 400g/14oz), each cut into 3 pieces",FALSO,,,,,,
79,6,penne,200g/7oz,,FALSO,,,,,,
80,6,single cream,300ml/10fl oz,,FALSO,,,,,,
81,6,Parmesan,50g/1� oz,"finely grated, or 75g/2�oz mature Cheddar cheese",FALSO,,,,,,
82,6,salt,,,VERDADEIRO,,,,,,
83,7,broad beans,250g/10oz,,FALSO,,,,,,
84,7,butter,50g/2oz,,FALSO,,,,,,
85,7,olive oil,3 tbsp,,FALSO,,,,,,
86,7,mint,1 tbsp chopped fresh, leaves,FALSO,,,,,,
87,7,onion,1,finely chopped,FALSO,,,,,,
88,7,garlic,2," cloves, crushed",FALSO,,,,,,
89,7,thyme,3-4 sprigs fresh,,FALSO,,,,,,
90,7,lemon,1 long strip, zest,FALSO,,,,,,
91,7,bay leaf,1,,FALSO,,,,,,
92,7,risotto rice,150g/5oz Arborio,,FALSO,,,,,,
93,7,white wine,150ml/5oz dry,,FALSO,,,,,,
94,7,vegetable stock,750ml/1 pint 7fl oz  hot,,FALSO,,,,,,
95,7,peas,100g/3�oz,,FALSO,,,,,,
96,7,asparagus,1 bunch,trimmed and cut into short lengths,FALSO,,,,,,
97,7,runner beans,100g/3�oz fresh,de-stringed and cut into long thin strips,FALSO,,,,,,
98,7,feta,100g/3�oz,drained and crumbled into small pieces,FALSO,,,,,,
99,7,salt,,,VERDADEIRO,,,,,,
100,7,parmesan,,"or vegetarian alternative, to serve (optional)",FALSO,,,,,,
101,8,wholemeal flour,200g/7oz,,FALSO,,,,,,
102,8,strong white flour,275g/9�oz,plus extra for sprinkling,FALSO,,,,,,
103,8,bicarbonate of soda,1 heaped tsp,,FALSO,,,,,,
104,8,salt,pinch,,FALSO,,,,,,
105,8,buttermilk,200ml/7fl oz,,FALSO,,,,,,
106,8,egg,1 large free-range,,FALSO,,,,,,
107,8,honey,1 tsp,,FALSO,,,,,,
108,8,potato,1 large,,FALSO,,,,,,
109,8,smoked haddock,250g/9oz un-dyed," fillets, skin on",FALSO,,,,,,
110,8,bay leaf,1,,FALSO,,,,,,
111,8,shallot,1,halved,FALSO,,,,,,
112,8,milk,650ml/22fl oz full-fat,,FALSO,,,,,,
113,8,butter,30g/1oz unsalted,,FALSO,,,,,,
114,8,onion,1,chopped,FALSO,,,,,,
115,8,garlic,1 clove,sliced,FALSO,,,,,,
116,8,sweetcorn,150g/5�oz," kernels (thawed, if frozen)",FALSO,,,,,,
117,8,runner beans,handful,sliced,FALSO,,,,,,
118,8,scallops,6,sliced,FALSO,,,,,,
119,8,clams,12 steamed,,FALSO,,,,,,
120,8,pollock,200g/7oz," fillet, diced",FALSO,,,,,,
121,8,prawns,150g/5�oz raw king,,FALSO,,,,,,
122,8,parsley,1 tbsp chopped fresh flat-leaf,,FALSO,,,,,,
123,8,black pepper,freshly ground,,FALSO,,,,,,
124,9,sea bass,1 x 1.5kg/3lb 5oz,,FALSO,,,,,,
125,9,thyme,bunch fresh,,FALSO,,,,,,
126,9,egg whites,4 free-range,,FALSO,,,,,,
127,9,sea salt,300g/11oz,,FALSO,,,,,,
128,9,runner beans,400g/14oz,thickly sliced diagonally,FALSO,,,,,,
129,9,parsley,4 tbsp chopped fresh flatleaf,,FALSO,,,,,,
130,9,shallots,2 banana,sliced into rings,FALSO,,,,,,
131,9,broad beans,200g/7oz cooked,,FALSO,,,,,,
132,9,Little Gem lettuces,2,leaves separated,FALSO,,,,,,
133,9,cro�tons,50g/2oz,,VERDADEIRO,,,,,,
134,9,English mustard,1 tsp,,FALSO,,,,,,
135,9,red wine vinegar,1 tbsp,,FALSO,,,,,,
136,9,lemon juice,squeeze,,FALSO,,,,,,
137,9,olive oil,3 tbsp,,FALSO,,,,,,
138,9,sugar,pinch,,FALSO,,,,,,
139,10,runner beans,150g/5�oz,,FALSO,,,,,,
140,10,olive oil,dash,,FALSO,,,,,,
141,10,onion,1 large,finely chopped,FALSO,,,,,,
142,10,risotto rice,300g/10�oz,,FALSO,,,,,,
143,10,vegetable stock,1 litre/1� pints,,FALSO,,,,,,
144,10,mascarpone,3 tbsp, (optional),FALSO,,,,,,
145,10,parmesan,50g/2oz," (or similar vegetarian hard cheese), finely grated, plus extra to serve",FALSO,,,,,,
146,10,broad beans,200g/7oz cooked,,FALSO,,,,,,
147,10,butter,3 knobs,,FALSO,,,,,,
148,10,salt,,,VERDADEIRO,,,,,,
149,10,tarragon,"1 heaped tbsp chopped fresh herbs (a mixture of chervil,",chives and flatleaf parsley),FALSO,,,,,,
150,11,olive oil,2 tbsp,,FALSO,,,,,,
