id,title,description,recipeLink,keywords,recipeType,ratingCount,ratingValue,authorType,authorName,prepTime,cookTime,recipeCategory,recipeCuisine,serving,nutrition,suitableForDiet,gotImage
0,Chickpeas with harissa and yoghurt,"Chickpeas are filling, delicious, easy to cook and cheap, making them the perfect choice for students. See also our <a href=""https://www.bbc.co.uk/food/recipes/easy_hummus_96922"">easy hummus recipe</a> and <a href=""https://www.bbc.co.uk/food/recipes/homemade_falafels_with_30527"">easy falafel recipe</a> for more ways to shuzsh up that tin!",https://www.bbc.co.uk/food/recipes/chickpeas_with_harissa_99809,"quick, 10-minute meals, easy chickpea, affordable 30-minute meals for two , clever combinations, easy and cheap one pots, easy recipes for students, perfect pulses, store cupboard, seriously fast food, winter stews, student food, stew, chickpea, harissa, egg free, gluten free, healthy, nut free, pregnancy friendly, vegetarian",Recipe,16,4875,Person,Justine Pattison,0.00:30:00,0.00:30:00,Light meals & snacks,,Serves 2,,"['http://schema.org/GlutenFreeDiet', 'http://schema.org/LowCalorieDiet', 'http://schema.org/VegetarianDiet']",FALSO
1,"Chickpea, spinach and egg curry","This vegetarian low-calorie chickpea curry makes a wonderful, easy after-work meal, and is ready in less than 20 minutes. It's also vegan if you leave out the egg. 

Each serving provides 441 kcal, 26g protein, 92g carbohydrates (of which 8.5g sugars), 20g fat (of which 3.5g saturates), 15g fibre and 0.6g salt. 

With a GI of 45 this meal is <a href=""https://www.bbc.co.uk/food/diets/high_protein_low_GI_diet"">high protein, low GI</a>.",https://www.bbc.co.uk/food/recipes/chickpea_spinach_and_egg_50755,"quick, easy chickpea, 500-calorie dinners, 6 quick and healthy, affordable 30-minute meals for two , best curry, budget curry, cheap meals for two, cooking with tins, easiest ever vegetarian recipes for 1-2, easy egg suppers, easy low-calorie, easy veggie curry, healthy and filling, healthy curry, healthy recipes for two, healthy and quick budget dishes, healthy vegetarian, high-protein low-gi vegetarian , low-calorie curries, low-calorie fakeaways, low-calorie, make the most of tins, perfect pulses, power up on protein, protein-packed vegetarian dinners, quick and cheap dinners, quick budget dinners, quick curry, quick vegetarian, veg-packed comfort food, speedy low-calorie suppers, super speedy recipes for 2 , super speedy vegetarian recipes for 1-2, take a tin of tomatoes, vegan food for winter, veggie meals, world in a store cupboard, diwali, student food, vegetable curry, egg, chickpea, spinach, dairy free, gluten free, healthy, nut free, pregnancy friendly, vegetarian",Recipe,51,4.31373E+15,Person,Sunil Vijayakar,0.00:30:00,0.00:30:00,Main course,Indian,Serves 2,"{'calories': '441kcal', 'carbohydrateContent': '92g', 'fatContent': '20g', 'fiberContent': '15g', 'proteinContent': '26g', 'saturatedFatContent': '3.5g', 'sugarContent': '8.5g'}","['http://schema.org/LowLactoseDiet', 'http://schema.org/GlutenFreeDiet', 'http://schema.org/LowCalorieDiet', 'http://schema.org/VegetarianDiet']",FALSO
2,"Tomato, chickpea and pasta soup","This cheap, quick and easy soup is based on an Italian classic: Pasta e ceci. If you�ve got any fresh herbs to hand, sprinkle a small handful over each bowl of soup before serving. Flatleaf parsley, basil and sage would all work well. 

Each serving provides 391 kcal, 14g protein, 44g carbohydrate (of which 8g sugars), 15g fat (of which 2g saturates), 10g fibre and 0.1g salt.
",https://www.bbc.co.uk/food/recipes/tomato_chickpea_and_78792,"quick, easy chickpea, 15 minute meals, 20 minute meals, 4-ingredient soups, 5 ingredient meals, 6 ingredient one-pot dinners, affordable 30-minute meals for two , easy soup, everyday vegan, filling soups, flask lunch ideas, healthy mediterranean , food to eat when you are sick, healthy lunch ideas, healthy and filling soup, make the most of tins, perfect pulses, store cupboard, vegan soups, summery soup, winter soups, easy family dinners, lunch, student food, winter, vegetable soup, chickpea, pasta, dairy free, egg free, healthy, nut free, pregnancy friendly",Recipe,17,4.58824E+15,Person,Rachel Phipps,0.00:30:00,0.00:30:00,Light meals & snacks,Italian,Serves 2,"{'calories': '391kcal', 'carbohydrateContent': '44g', 'fatContent': '15g', 'fiberContent': '10g', 'proteinContent': '14g', 'saturatedFatContent': '2g', 'sugarContent': '8g'}","['http://schema.org/LowLactoseDiet', 'http://schema.org/LowCalorieDiet']",FALSO
3,Tom Kerridge's beef stroganoff,"This classic creamy beef stroganoff recipe is made with mushrooms, smoked paprika and slices of pan-fried rump steak. It is also still filling without the rice, should you want to reduce the calorie count.

Each serving provides 795 kcal (505 kcal without rice), 59g protein, 87g carbohydrates (of which 18g sugars), 18g fat (of which 7.5g saturates), 18g fibre and 4.5g salt.",https://www.bbc.co.uk/food/recipes/beef_stroganoff_16029,"quick, fresh start for 1-2, luxury weeknight meals, motivational recipes for 1-2 , quick beef, recipes for the confident cook for 1-2, autumn, valentine's day, winter, stroganoff, rump, egg free, nut free, pregnancy friendly, Tom Kerridge's Lose Weight For Good",Recipe,34,4.76471E+15,Person,Tom Kerridge,0.00:30:00,0.00:30:00,Main course,East European,Serves 2,"{'calories': '795kcal', 'carbohydrateContent': '87g', 'fatContent': '18g', 'fiberContent': '18g', 'proteinContent': '59g', 'saturatedFatContent': '7.5g', 'sugarContent': '18g'}",[],FALSO
4,Prawn laksa,"Fragrant, spicy and coconutty, prawn laksa is the perfect quick and delicious dinner. Using ready-made laksa paste makes cooking easy and rice noodles take just minutes to cook.

Each serving provides 756kcal, 30g protein, 64g carbohydrate (of which 18g sugars), 42g fat (of which 30g saturates), 4.5g fibre and 3.6g salt.",https://www.bbc.co.uk/food/recipes/prawn_laksa_96549,"quick, 30 minute dinners, round the world on a plate, luxury weeknight meals, mouthwatering malaysian, quick summer, student food, summer dinner, Thai soup, rice noodles, dairy free, egg free, gluten free, nut free, pregnancy friendly",Recipe,3,5,Person,Sunil Vijayakar,0.00:30:00,0.00:30:00,Main course,Thai and South-East Asian,Serves 2,"{'calories': '756kcal', 'carbohydrateContent': '64g', 'fatContent': '42g', 'fiberContent': '4.5g', 'proteinContent': '30g', 'saturatedFatContent': '30g', 'sugarContent': '18g'}","['http://schema.org/LowLactoseDiet', 'http://schema.org/GlutenFreeDiet']",FALSO
5,One pan halloumi veggie traybake ,"Roasted veg topped with halloumi makes for an easy veggie dinner to look forward. Simply throw all the veggies into one roasting dish, top with sices of halloumi and finish under the grill. ",https://www.bbc.co.uk/food/recipes/one_pan_halloumi_veggie_49929,"quick, all-in-one traybake dinners, 6 ingredient (or less) traybakes, budget traybake dinners, new ways to 5-a-day, veggie traybakes, student food, summer dinner, halloumi, egg free, gluten free, nut free, pregnancy friendly, vegetarian",Recipe,9,4.33333E+15,Person,Rachel Phipps,0.00:30:00,0.00:30:00,Main course,,Serves 2,,"['http://schema.org/GlutenFreeDiet', 'http://schema.org/VegetarianDiet']",FALSO
6,Creamy sausage pasta bake ,"Sausage pasta bake is a winner, especially with roasted veggies, cream and Parmesan! This recipe makes a lovely comforting, creamy dinner for the whole family.
",https://www.bbc.co.uk/food/recipes/sausage_pasta_bake_81709,"cheap sausage, easiest ever recipes for the family, easy pasta, easy pasta bakes, easy sausage suppers , quick pasta, quick sausage, summery family favourites, autumn, easy family dinners, spring recipes , student food, summer dinner, winter, pasta bake, sausage, egg free, nut free, pregnancy friendly",Recipe,14,5,Person,Justine Pattison,0.00:30:00,0.01:00:00,Main course,,Serves 4,,[],FALSO
7,Broad bean risotto,A simple vegetarian risotto by the Hairy Bikers that uses wonderfully fresh British vegetables and herbs.,https://www.bbc.co.uk/food/recipes/vegetable_garden_risotto_60989,"quick, a very veggie easter, go green, vegetarian risotto, summer dinner, risotto, broad beans, risotto rice, asparagus, nut free, vegetarian, spring, summer, Hairy Bikers' Best of British",Recipe,7,4.57143E+15,Person,The Hairy Bikers,0.00:30:00,0.00:30:00,Main course,Italian,Serves 4,,['http://schema.org/VegetarianDiet'],FALSO
8,Irish fish chowder with soda bread,"Loaded with different types of fish, this simple chowder recipe stands or falls on the freshness of the ingredients. Serve with traditional soda bread.",https://www.bbc.co.uk/food/recipes/irish_fish_chowder_with_08587,"irresistible irish food, autumn, st patrick's day, summer dinner, winter, chowder, Smoked haddock, pollock, nut free, pregnancy friendly, winter, spring, autumn, MasterChef",Recipe,4,475,Person,John Torode,0.00:30:00,0.01:00:00,Main course,Irish,Serves 4,,[],FALSO
9,Salt-crusted sea bass with runner bean salad,Sea bass baked in salt crust makes for beautifully moist fish. Serve it with a simple summery salad. ,https://www.bbc.co.uk/food/recipes/salt-crusted_sea_bass_20066,"summer dinner, sea bass, runner beans, dairy free, pregnancy friendly, 2007-16",Recipe,,,Person,James Martin,0.00:30:00,0.01:00:00,Main course,,Serves 4,,['http://schema.org/LowLactoseDiet'],FALSO
